Nodo,Respuesta,Modelo_ID,Familia,Escenario,Observado,Predicho_LOOCV,Residuo_LOOCV
24,Macollas,M2_Indice_N,M2,M2_Indice_N,6.333333333333333,7.582175615654354,-1.2488422823210206
25,Macollas,M2_Indice_N,M2,M2_Indice_N,6.333333333333333,7.173688823267473,-0.8403554899341401
26,Macollas,M2_Indice_N,M2,M2_Indice_N,7.666666666666667,7.624922336959264,0.04174432970740316
27,Macollas,M2_Indice_N,M2,M2_Indice_N,7,9.110525104304717,-2.110525104304717
28,Macollas,M2_Indice_N,M2,M2_Indice_N,9.333333333333334,7.5082799217861185,1.8250534115472155
29,Macollas,M2_Indice_N,M2,M2_Indice_N,9.333333333333334,7.879301390767813,1.4540319425655213
30,Macollas,M2_Indice_N,M2,M2_Indice_N,8.666666666666666,7.730093841480379,0.9365728251862873
31,Macollas,M2_Indice_N,M2,M2_Indice_N,9.333333333333334,8.72455387751886,0.6087794558144743
32,Macollas,M2_Indice_N,M2,M2_Indice_N,7,7.274360507338921,-0.2743605073389208
33,Macollas,M2_Indice_N,M2,M2_Indice_N,6.666666666666667,7.516345935515784,-0.8496792688491173
34,Macollas,M2_Indice_N,M2,M2_Indice_N,7,7.899515028865631,-0.8995150288656308
35,Macollas,M2_Indice_N,M2,M2_Indice_N,7,6.0076678165639485,0.9923321834360515
36,Macollas,M2_Indice_N,M2,M2_Indice_N,5.333333333333333,6.496134874166976,-1.1628015408336427
37,Macollas,M2_Indice_N,M2,M2_Indice_N,5,6.060519318428708,-1.0605193184287076
38,Macollas,M2_Indice_N,M2,M2_Indice_N,4.666666666666667,4.913611143667545,-0.24694447700087796
39,Macollas,M2_Indice_N,M2,M2_Indice_N,6,4.947967504504284,1.052032495495716
40,Macollas,M2_Indice_N,M2,M2_Indice_N,5,5.907994677171315,-0.907994677171315
41,Macollas,M2_Indice_N,M2,M2_Indice_N,7.666666666666667,6.745329026134073,0.9213376405325944
