grid_id,X,Y,CE_pred,CE_var,CE_corregida_pred,CE_corregida_var,Diferencia_prediccion,Relacion_varianzas
131,587189.798828124,517553.17034892214,231.77579477297078,3094.1342340413116,482.3142218772951,2677.8435043963755,250.5384271043243,0.865458089999796
132,587190.0868848461,517553.17034892214,232.26375127798633,2472.00627655862,482.7681678139109,2139.4178305778864,250.50441653592458,0.8654580899997781
133,587190.3749415682,517553.17034892214,232.8803029282558,1735.3204572240325,483.3417458141565,1501.8471284466248,250.46144288590074,0.8654580899997619
134,587190.6629982904,517553.17034892214,233.6256924452349,887.2235470888999,484.03518168180227,767.8547964663602,250.40948923656737,0.8654580899997474
135,587190.9510550125,517553.17034892214,234.94702192299687,444.477380032262,485.26441449496434,384.67654437080705,250.31739257196747,0.8654580899997333
136,587191.2391117347,517553.17034892214,237.56381901834297,1223.0932833376219,487.6988208327651,1058.5359768888952,250.1350018144221,0.865458089999745
137,587191.5271684568,517553.17034892214,240.22741671603401,1922.713957950898,490.17676577092755,1664.0283496640536,249.94934905489353,0.865458089999755
138,587191.815225179,517553.17034892214,242.72467942431174,2462.1450079785777,492.49996926843886,2130.8833159076016,249.77528984412712,0.8654580899997673
139,587192.1032819011,517553.17034892214,244.9243928855268,2875.268381794208,494.54636270140753,2488.424281944376,249.62196981588073,0.8654580899997809
140,587192.3913386234,517553.17034892214,246.70322448131103,3203.8614896408567,496.20120973496597,2772.8078454484667,249.49798525365495,0.8654580899997928
141,587192.6793953455,517553.17034892214,247.97228170195396,3486.2192481603956,497.38181366733045,3017.176651833454,249.4095319653765,0.8654580899998054
142,587192.9674520676,517553.17034892214,248.70784840406566,3749.978168666681,498.0661113703054,3245.448943395279,249.35826296623975,0.8654580899998174
143,587193.2555087898,517553.17034892214,248.9613951259601,4008.8135894726133,498.30198588568413,3469.460152310326,249.34059075972402,0.8654580899998289
144,587193.5435655119,517553.17034892214,248.84012734089853,4264.71006513043,498.18917046524155,3690.92782737088,249.349043124343,0.8654580899998412
145,587193.8316222341,517553.17034892214,248.4722477324954,4513.574127357182,497.8469320655445,3906.309243335296,249.3746843330491,0.8654580899998521
146,587194.1196789562,517553.17034892214,247.9771721759207,4750.340268841528,497.38636327526336,4111.220415921024,249.40919109934265,0.8654580899998628
147,587194.4077356784,517553.17034892214,247.44955206999967,4971.646062598441,496.8955182907252,4302.751305491838,249.44596622072552,0.8654580899998735
148,587194.6957924005,517553.17034892214,246.95492817875407,5176.370997288492,496.4353696846997,4479.932156444091,249.48044150594563,0.8654580899998836
149,587194.9838491228,517553.17034892214,246.53179001035195,5365.084916279017,496.0417242466354,4643.2561443300765,249.50993423628344,0.8654580899998935
150,587195.2719058449,517553.17034892214,246.19623894919513,5539.23432048814,495.72956109444146,4793.975155071576,249.53332214524633,0.865458089999903
151,587188.3585445131,517553.45840564434,230.1591384616908,4876.622318488811,480.81024651091144,4220.512237410007,250.65110804922065,0.8654580899998583
