Nodo,Experimental_Unit,Treatment_ID,Treatment_base,Dose_percent,Omission_description,Replication,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,X,Y,GLI_09_buffer_0_0m,GLI_09_buffer_0_5m,GLI_09_buffer_1_0m,GRVI_09_buffer_0_0m,GRVI_09_buffer_0_5m,GRVI_09_buffer_1_0m,GLI_14_buffer_0_0m,GLI_14_buffer_0_5m,GLI_14_buffer_1_0m,GRVI_14_buffer_0_0m,GRVI_14_buffer_0_5m,GRVI_14_buffer_1_0m,Delta_GLI_buffer_0_0m,Delta_GLI_buffer_0_5m,Delta_GLI_buffer_1_0m,Delta_GRVI_buffer_0_0m,Delta_GRVI_buffer_0_5m,Delta_GRVI_buffer_1_0m
17,L2_NODE_17,T1-B,T1,75,Completo,2,5.333333333333333,37.6,3.255555555555555,0.7,5900,4700,2300,587192.647,517559,0.08626782967152177,0.08403050790954979,0.08403050790954979,0.012993358005844197,0.007354473140682488,0.007354473140682488,0.11731369559918026,0.09673007969434187,0.09673007969434187,0.014906208415616734,5.120116515678544e-4,5.120116515678544e-4,0.03104586592765849,0.012699571784792085,0.012699571784792085,0.0019128504097725343,-0.0068424614891146335,-0.0068424614891146335
18,L2_NODE_18,T5-B,T5,75,Sin Mg y S,2,6,49.53333333333333,3.3444444444444446,0.71,5200,5600,1800,587194.713,517560,-0.018072791890403853,-0.017494782679428084,-0.017494782679428084,-0.06934890734357359,-0.06981917907833483,-0.06981917907833483,0.2104890731198457,0.20765979846027777,0.20765979846027777,0.1278776553261845,0.12559404239328698,0.12559404239328698,0.22856186501024953,0.22515458113970585,0.22515458113970585,0.19722656266975813,0.19541322147162182,0.19541322147162182
19,L2_NODE_19,T11-B,T11,75,Sin Mo,2,6,48.36666666666667,3.6222222222222222,0.7,5600,5600,1800,587196.236,517562,0.09433775259337718,0.09565896008087568,0.09565896008087568,-0.02315682293610692,-0.020454969888242542,-0.020454969888242542,0.2744831593706632,0.31225548598790154,0.31225548598790154,0.2289213516045173,0.2656147375547515,0.2656147375547515,0.18014540677728602,0.21659652590702586,0.21659652590702586,0.25207817454062426,0.28606970744299404,0.28606970744299404
20,L2_NODE_20,T9-A,T9,100,Sin B,2,5.666666666666667,46.4,3.4222222222222225,0.71,5700,5000,1300,587198.569,517564,0.18758226975155334,0.17745906095723016,0.17745906095723016,0.1128100151855204,0.11489383600636094,0.11489383600636094,0.22593758066698277,0.23894722195153834,0.23894722195153834,0.12952509736164294,0.1331653871011123,0.1331653871011123,0.0383553109154294,0.06148816099430818,0.06148816099430818,0.016715082176122522,0.01827155109475137,0.01827155109475137
21,L2_NODE_21,T11-A,T11,100,Sin Mo,2,6.666666666666667,45.9,3.622222222222222,0.72,4500,5600,1300,587200.494,517565,-0.019819454089719628,-0.0208029118890621,-0.0208029118890621,-0.058000917005749074,-0.057637774164503705,-0.057637774164503705,0.2938096534211649,0.3023150371232058,0.3023150371232058,0.18878836695127105,0.19835040183767005,0.19835040183767005,0.3136291075108846,0.32311794901226787,0.32311794901226787,0.24678928395702018,0.2559881760021738,0.2559881760021738
22,L2_NODE_22,T5-A,T5,100,Sin Mg y S,2,7,46.03333333333333,5.233333333333333,0.7,4600,4700,1200,587202.56,517567,-0.00623523862803349,-0.007195281583676311,-0.007195281583676311,-0.05852807208006782,-0.05894718693287273,-0.05894718693287273,0.31447128479665726,0.3752044529839674,0.3752044529839674,0.15657423370633222,0.18854008995751548,0.18854008995751548,0.3207065234246908,0.3823997345676437,0.3823997345676437,0.21510230578640002,0.2474872768903882,0.2474872768903882
23,L2_NODE_23,T10-B,T10,75,Sin Cu,1,6.333333333333333,45.06666666666666,3.055555555555556,0.7,5800,4400,1500,587204.529,517569,0.22428564153233096,0.2202877550512946,0.2202877550512946,0.12444234095056989,0.12159991893970211,0.12159991893970211,0.21790054173471174,0.23437583823206257,0.23437583823206257,0.12168041971642968,0.1282154703650689,0.1282154703650689,-0.006385099797619207,0.014088083180767957,0.014088083180767957,-0.00276192123414018,0.006615551425366781,0.006615551425366781
24,L2_NODE_24,T7-B,T7,75,Sin Zn,1,6.333333333333333,38.733333333333334,2.833333333333333,0.67,5600,4400,1600,587206.461,517570,0.21962038119922433,0.2114667096449013,0.2114667096449013,0.09394652405809963,0.09638176826142783,0.09638176826142783,0.09190074117910833,0.10090136197543338,0.10090136197543338,0.011644672536959909,0.0034154923916346587,0.0034154923916346587,-0.12771964002011602,-0.11056534766946792,-0.11056534766946792,-0.08230185152113971,-0.09296627586979317,-0.09296627586979317
25,L2_NODE_25,T0-B,T0,75,Control,1,6.333333333333333,41.9,2.844444444444444,0.66,5000,4300,1600,587208.571,517572,0.22503189118098965,0.22154872032745904,0.22154872032745904,0.11763356935959254,0.11438734856999666,0.11438734856999666,0.22938851521591175,0.2287481775983319,0.2287481775983319,0.12511292268057966,0.12598087307117845,0.12598087307117845,0.004356624034922093,0.007199457270872872,0.007199457270872872,0.00747935332098712,0.011593524501181784,0.011593524501181784
26,L2_NODE_26,T9-A,T9,100,Sin B,1,7.666666666666667,40.93333333333333,3.511111111111111,0.71,4600,4400,1200,587210.54,517574,0.06426232820615739,0.07288820782323983,0.07288820782323983,-0.007436138054780939,-1.3791835233541744e-4,-1.3791835233541744e-4,0.22334818771342116,0.21596771010899815,0.21596771010899815,0.14363301505999054,0.13504496834135804,0.13504496834135804,0.15908585950726378,0.14307950228575833,0.14307950228575833,0.15106915311477148,0.13518288669369347,0.13518288669369347
