Nodo,Variable,Buffer_m,Valor
37,GRVI_09,1,-0.11876654708681395
38,GRVI_09,1,-0.028945664590297845
39,GRVI_09,1,-0.11058629225536516
40,GRVI_09,1,-0.11016312882811972
41,GRVI_09,1,-0.0701036348603267
42,GRVI_09,1,-0.13948236054510024
43,GRVI_09,1,-0.0030134899622400596
44,GRVI_09,1,0.02280012590154371
45,GRVI_09,1,0.01477637371549156
46,GRVI_09,1,0.02887773789078553
47,GRVI_09,1,-0.043744783938467126
48,GRVI_09,1,9.983008683151948e-4
49,GRVI_09,1,0.04097435369396593
50,GRVI_09,1,-0.010629533696378032
51,GRVI_09,1,0.022798524370173195
52,GRVI_09,1,-0.049163168420691974
53,GRVI_09,1,0.0332234465390913
54,GRVI_09,1,0.024085832487675114
55,GRVI_09,1,0.019037296130475053
56,GRVI_09,1,0.03280453924137165
1,GLI_14,0,0.13377059507494926
2,GLI_14,0,0.20930084217883904
3,GLI_14,0,0.04749486093410571
4,GLI_14,0,0.182799265586269
5,GLI_14,0,0.1726329708462451
6,GLI_14,0,0.14732269983373716
7,GLI_14,0,0.2706911905628873
8,GLI_14,0,0.1976673543585192
9,GLI_14,0,0.2889804110423327
10,GLI_14,0,0.27040791897001915
11,GLI_14,0,0.22926619281728058
12,GLI_14,0,0.20600267333325084
13,GLI_14,0,0.2672103103767661
14,GLI_14,0,0.2562367954444569
15,GLI_14,0,0.13263127790445667
16,GLI_14,0,0.24791200992009077
17,GLI_14,0,0.11731369559918026
18,GLI_14,0,0.2104890731198457
19,GLI_14,0,0.2744831593706632
20,GLI_14,0,0.22593758066698277
21,GLI_14,0,0.2938096534211649
22,GLI_14,0,0.31447128479665726
23,GLI_14,0,0.21790054173471174
24,GLI_14,0,0.09190074117910833
25,GLI_14,0,0.22938851521591175
26,GLI_14,0,0.22334818771342116
27,GLI_14,0,0.18285452378711908
28,GLI_14,0,0.2032565690812387
29,GLI_14,0,0.24647029033650225
30,GLI_14,0,0.21250170343698271
31,GLI_14,0,0.22136471659954288
32,GLI_14,0,0.26617328262295553
33,GLI_14,0,0.20605089767644844
34,GLI_14,0,0.2463372003319153
35,GLI_14,0,0.16137059088416994
36,GLI_14,0,0.21650080492612642
37,GLI_14,0,0.20248306217650042
38,GLI_14,0,0.19780661159626506
39,GLI_14,0,0.1815662104532084
40,GLI_14,0,0.1983036971814363
41,GLI_14,0,0.16862400059894997
42,GLI_14,0,0.21573558271979537
43,GLI_14,0,0.24811581757628504
44,GLI_14,0,0.1970717598375409
45,GLI_14,0,0.18887798374079062
46,GLI_14,0,0.170998259586454
47,GLI_14,0,0.2718432572231345
48,GLI_14,0,0.18106862730558027
49,GLI_14,0,0.2354218916255719
50,GLI_14,0,0.033629357400866214
51,GLI_14,0,0.13478183279511977
52,GLI_14,0,0.18450461531884718
53,GLI_14,0,0.21953755151394314
54,GLI_14,0,0.1651463494777219
55,GLI_14,0,0.1529183902922598
56,GLI_14,0,0.19006674136090843
1,GLI_14,0.5,0.13362828900002136
2,GLI_14,0.5,0.18104883431602645
3,GLI_14,0.5,0.03588081096415835
4,GLI_14,0.5,0.16871782229488444
5,GLI_14,0.5,0.1419020001636617
6,GLI_14,0.5,0.13265496182181055
7,GLI_14,0.5,0.27296208419341533
8,GLI_14,0.5,0.16643657873968268
