Nodo,Variable_suelo,Prediccion,Varianza_kriging,Error_estandar_kriging
47,pH,7.067695768867427,0.2779027655091292,0.5271648371326839
48,pH,8.168347282392022,0.24739198482440047,0.4973851473701245
49,pH,8.475496056864344,0.1730278694657708,0.41596618788763445
50,pH,6.998413441942849,0.3128098004409461,0.5592940196720738
51,pH,8.261402224406721,0.2377035460823272,0.48754850638918706
52,pH,7.002848472223735,0.16475719193973795,0.4059029341354137
53,pH,7.114376127756552,0.1283177452127844,0.35821466359263465
54,pH,8.349157243537224,0.23472552549991016,0.4844848041991721
55,pH,8.449226259820819,0.18712023905542935,0.43257396946121174
56,pH,8.299016280380203,0.10955763367409573,0.3309949148764913
1,T,16.390856305908574,0.2916228016058555,0.5400211121853066
2,T,16.36011865982005,0.3714954138435987,0.6095042361162051
3,T,16.304335526651716,0.33560886107075716,0.5793175822213211
4,T,16.333889117557277,0.2629129839030025,0.5127504109242649
5,T,16.457688607156356,0.20189739426715553,0.44932993920632036
6,T,16.006800261883832,0.10024345574315643,0.3166124693425015
7,T,15.935461193644215,0.2598911202069539,0.5097951747584062
8,T,15.629953510551685,0.1890472234964166,0.43479561117428106
9,T,16.219063677723863,0.32393608032200655,0.569153828346965
10,T,16.297675315344055,0.31224631857336954,0.558790048742253
11,T,15.845158233713603,0.13586942418157721,0.36860469907690707
12,T,16.24488757423928,0.3076751085255105,0.5546846928891318
13,T,16.587488417945256,0.22894966972006559,0.4784868542813539
14,T,16.34828161043097,0.20761250097463474,0.4556451480863532
15,T,16.45210968892871,0.39427599308596684,0.6279140013456993
16,T,16.404440793303923,0.3791207654467394,0.6157278339061337
17,T,16.108180467084274,0.32957083332743775,0.5740826014846973
18,T,16.411153349030926,0.4066462461606925,0.637688204501771
19,T,16.35445327649193,0.3260360895535114,0.5709957001182333
20,T,15.996168585176823,0.3145247538839137,0.5608250653135197
21,T,16.222399562334573,0.3929986437498957,0.6268960390287178
22,T,16.249920116280524,0.36339917808110833,0.6028259932029377
23,T,16.38293786938734,0.30375533200941657,0.5511400294021626
24,T,16.513726474009,0.3888531441850978,0.6235809042819527
25,T,16.337856589118964,0.3617182172488184,0.6014301432825082
26,T,16.306028690856877,0.3015658604015448,0.5491501255590723
27,T,16.29326404711778,0.24669413645593413,0.4966831348615877
28,T,16.553360689663215,0.3448943801165655,0.5872770897255958
29,T,16.555892325811563,0.11544574716158472,0.3397730818672732
30,T,16.59755296532245,0.23865699303576945,0.4885253248663466
31,T,17.13188575892372,0.17508722653330955,0.4184342559271523
32,T,17.217162578176637,0.08317764118357293,0.28840534180831834
33,T,16.88959875188627,0.2699827941681219,0.5195986856874466
34,T,17.266533371940447,0.17163745326578964,0.4142915075955451
35,T,16.929640308754806,0.08028526213823074,0.28334654072042376
36,T,16.95038721713169,0.2586435792593446,0.5085701320952152
37,T,17.095034890751798,0.1570453203017935,0.3962894400583915
38,T,16.26624602182283,0.14063385506241263,0.37501180656402355
39,T,16.569129671904555,0.20861289773347344,0.45674160937391445
40,T,16.84853679988465,0.134375029796308,0.36657199810720403
41,T,16.319340574133697,0.05251612000454854,0.2291639587818044
42,T,16.458807870927757,0.26624780505770534,0.5159920591033406
43,T,16.47939119316805,0.3683380110858515,0.6069085689672304
44,T,16.530103495043477,0.42498999825783984,0.6519125694890687
45,T,16.596337119273574,0.40947136789406824,0.6398994982761498
46,T,16.42002005507297,0.3878801681544182,0.622800263450826
47,T,16.520251381960204,0.40843927414843506,0.6390925395812683
48,T,16.717538904966478,0.40426000615067703,0.6358144431755833
49,T,16.660593379482005,0.3647878839417774,0.6039767246689043
