Nodo,X,Y,Variable,Escenario,Valor,Gi_estrella,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_Gi
41,587192.224,517555,Macollas,Residual_ajustado,0.7083333333333331,-0.2533198437996043,-2.4210708548175246,1.7312146543642448,0.762,Sin_clasificar
42,587190.146,517554,Macollas,Residual_ajustado,-0.3583333333333337,-0.2365436952036043,-2.266730287734322,1.7988435033918746,0.826,Sin_clasificar
43,587191.692,517552,Macollas,Residual_ajustado,-0.3583333333333335,0.04529560120919976,-2.2965918322352015,1.858902115365555,0.91,Sin_clasificar
44,587193.77,517553,Macollas,Residual_ajustado,0.17499999999999988,0.25373924751450405,-2.2929849602870616,1.7915249085668667,0.832,Sin_clasificar
45,587195.739,517555,Macollas,Residual_ajustado,0.25347222222222293,0.45169780094730777,-2.114780321826051,1.9527646667601741,0.766,Sin_clasificar
46,587197.805,517557,Macollas,Residual_ajustado,0.26388888888888967,1.0799645658675179,-2.06780710575725,1.6813475526626356,0.298,Sin_clasificar
47,587199.328,517558,Macollas,Residual_ajustado,0.5868055555555566,0.9491106068187152,-2.1510797133506454,1.7870582590031834,0.328,Sin_clasificar
48,587201.661,517560,Macollas,Residual_ajustado,0.03680555555555545,-0.013420918876799777,-2.2352750091168225,1.8866037307347003,0.986,Sin_clasificar
49,587203.586,517562,Macollas,Residual_ajustado,0.2638888888888881,-1.4767204801629246,-2.0705332299041,1.7533591705109683,0.146,Sin_clasificar
50,587205.651,517563,Macollas,Residual_ajustado,-2.563194444444444,-1.8093076260786303,-2.0910840119341954,1.6855625599973818,0.066,Sin_clasificar
51,587207.621,517565,Macollas,Residual_ajustado,-0.5138888888888892,-2.066821507027233,-2.1438030588971313,1.6861916655697309,0.04,Sin_clasificar
52,587209.552,517567,Macollas,Residual_ajustado,-0.25763888888888875,-0.5276098733442115,-1.8742942317023874,1.978893518198448,0.614,Sin_clasificar
53,587211.663,517569,Macollas,Residual_ajustado,0.902777777777776,0.895426931311511,-1.9452992806349556,2.0055046839088555,0.41,Sin_clasificar
54,587213.632,517570,Macollas,Residual_ajustado,0.8590277777777768,2.2542949675875312,-1.9859814409802565,1.807399339175836,0.028,Hotspot
55,587215.742,517572,Macollas,Residual_ajustado,1.9923611111111086,2.761354058901641,-1.822309141240527,1.9540438480906208,0.012,Hotspot
56,587217.533,517574,Macollas,Residual_ajustado,-0.07430555555555564,3.083456111944847,-2.047948339856732,1.937750013766756,0.002,Hotspot
1,587212.895,517579,NDVI,Original,0.7,0.810674958195406,-1.8038578912725116,1.7614141761837416,0.472,Sin_clasificar
2,587211.104,517578,NDVI,Original,0.69,0.810674958195406,-1.8038578912725116,1.7614141761837416,0.472,Sin_clasificar
3,587208.994,517576,NDVI,Original,0.7,0.097620544704149,-2.041542695769596,1.9990989806808201,1,Sin_clasificar
4,587207.025,517574,NDVI,Original,0.66,-1.5661730867754224,-2.041542695769601,1.892140818657142,0.198,Sin_clasificar
5,587204.915,517572,NDVI,Original,0.68,-2.754597109260837,-2.04154269576959,1.7614141761837416,0.002,Coldspot
6,587202.983,517570,NDVI,Original,0.65,-1.090803477781244,-1.9345845337459093,1.7614141761837416,0.27,Sin_clasificar
7,587201.014,517569,NDVI,Original,0.7,-0.8531186732841655,-2.041542695769596,1.7614141761837416,0.34,Sin_clasificar
8,587198.948,517567,NDVI,Original,0.69,0.097620544704149,-1.8038578912725223,1.9990989806808201,1,Sin_clasificar
9,587197.023,517566,NDVI,Original,0.66,-0.14006425979292964,-1.9345845337459093,1.7614141761837416,0.874,Sin_clasificar
10,587194.69,517564,NDVI,Original,0.69,-0.37774906429000826,-2.0415426957695857,1.9990989806808201,0.816,Sin_clasificar
