Nodo,X,Y,Variable,Escenario,Valor,Z,Rezago_Z,Moran_local,Perm_Q025,Perm_Q975,p_Monte_Carlo_informativo,Clase_LISA
25,587208.571,517572,Altura,Residual_ajustado,-1.1384722222222237,-0.2970517529360585,0.09481049757459759,-0.028163624501274135,-0.99605765119354,0.80902405216114,0.884,Sin_clasificar
26,587210.54,517574,Altura,Residual_ajustado,-1.6652777777777792,-0.4345065899357496,0.03257893447475037,-0.014155761722364013,-0.9612823009916573,0.839901859894757,0.968,Sin_clasificar
27,587212.65,517576,Altura,Residual_ajustado,3.539305555555555,0.9234805197108167,0.1559911273042896,0.14405476731324152,-1.021742630579174,0.859782709099767,0.556,Sin_clasificar
28,587214.441,517577,Altura,Residual_ajustado,3.399305555555558,0.8869515253275618,0.04118571638548221,0.0365297339698118,-1.0942162954194095,0.9344271092802868,0.818,Sin_clasificar
29,587215.987,517575,Altura,Residual_ajustado,5.418055555555559,1.413686578264686,0.4629542690933442,0.6544722365675983,-1.0536517464854458,1.163608306470266,0.138,Sin_clasificar
30,587214.196,517574,Altura,Residual_ajustado,1.3059722222222223,0.34075608550173875,0.331542298972034,0.11297505597595746,-0.9906738538485083,0.9340420224069611,0.604,Sin_clasificar
31,587212.086,517572,Altura,Residual_ajustado,-0.20736111111110955,-0.054104949022024174,0.27115892904038896,-0.014671040032596915,-1.0212909256025604,0.8835476693098465,0.98,Sin_clasificar
32,587210.117,517570,Altura,Residual_ajustado,5.3902777777778015,1.406438761918807,-0.034182513841274964,-0.048075612446195244,-0.9095573819818059,0.9456797924118215,0.822,Sin_clasificar
33,587208.007,517569,Altura,Residual_ajustado,-3.751805555555551,-0.9789263147568288,-0.6853353941259305,0.670892851744116,-0.981897183791201,0.7786845816268179,0.108,Sin_clasificar
34,587206.075,517567,Altura,Residual_ajustado,-5.018472222222227,-1.3094267401291442,-0.42958713459098075,0.5625128812488879,-1.0522113494904648,1.0352351385333964,0.188,Sin_clasificar
35,587204.105,517565,Altura,Residual_ajustado,-1.819027777777781,-0.4746232534102183,-0.5011955600883155,0.23787906732387284,-1.0276493491764298,0.8095056855178289,0.43,Sin_clasificar
36,587202.04,517564,Altura,Residual_ajustado,1.2597222222222186,0.32868847128584083,-0.5664621462830006,-0.18618957690305582,-1.114439354380084,0.7240466208461163,0.566,Sin_clasificar
37,587200.115,517562,Altura,Residual_ajustado,-1.3923611111111058,-0.363296794337437,0.07423575892271711,-0.02696961324182991,-0.8996095916031649,0.8813866183421444,0.982,Sin_clasificar
38,587197.782,517560,Altura,Residual_ajustado,-5.070138888888889,-1.3229076785324871,0.39944527836253557,-0.528429225899345,-1.276662712334728,1.1404774541772231,0.228,Sin_clasificar
39,587196.259,517559,Altura,Residual_ajustado,0.7986111111111303,0.20837471994417148,0.02611025838604694,0.005440717778862486,-1.0391498405458635,1.0333142166645737,0.952,Sin_clasificar
