Nodo,Variable,Original,Residual_ajustado,Clase_estable
9,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
10,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
11,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
12,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
13,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
14,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
15,Potasio_savia,Hotspot,Sin_clasificar,FALSE
16,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
17,Potasio_savia,Hotspot,Sin_clasificar,FALSE
18,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
19,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
20,Potasio_savia,Sin_clasificar,Hotspot,FALSE
21,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
22,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
23,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
24,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
25,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
26,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
27,Potasio_savia,Coldspot,Sin_clasificar,FALSE
28,Potasio_savia,Coldspot,Sin_clasificar,FALSE
29,Potasio_savia,Coldspot,Sin_clasificar,FALSE
30,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
31,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
32,Potasio_savia,Sin_clasificar,Hotspot,FALSE
33,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
34,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
35,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
36,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
37,Potasio_savia,Hotspot,Hotspot,TRUE
38,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
39,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
40,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
41,Potasio_savia,Hotspot,Sin_clasificar,FALSE
42,Potasio_savia,Hotspot,Sin_clasificar,FALSE
43,Potasio_savia,Hotspot,Sin_clasificar,FALSE
44,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
45,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
46,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
47,Potasio_savia,Sin_clasificar,Coldspot,FALSE
48,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
49,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
50,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
51,Potasio_savia,Sin_clasificar,Coldspot,FALSE
52,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
53,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
54,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
55,Potasio_savia,Sin_clasificar,Sin_clasificar,TRUE
56,Potasio_savia,Coldspot,Sin_clasificar,FALSE
1,Suelo_CE,Hotspot,Hotspot,TRUE
2,Suelo_CE,Hotspot,Hotspot,TRUE
3,Suelo_CE,Hotspot,Sin_clasificar,FALSE
4,Suelo_CE,Hotspot,Sin_clasificar,FALSE
5,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
6,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
7,Suelo_CE,Sin_clasificar,Coldspot,FALSE
8,Suelo_CE,Coldspot,Coldspot,TRUE
9,Suelo_CE,Coldspot,Coldspot,TRUE
10,Suelo_CE,Coldspot,Coldspot,TRUE
11,Suelo_CE,Coldspot,Coldspot,TRUE
12,Suelo_CE,Coldspot,Coldspot,TRUE
13,Suelo_CE,Coldspot,Sin_clasificar,FALSE
14,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
15,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
16,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
17,Suelo_CE,Coldspot,Sin_clasificar,FALSE
18,Suelo_CE,Coldspot,Sin_clasificar,FALSE
19,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
20,Suelo_CE,Coldspot,Coldspot,TRUE
21,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
22,Suelo_CE,Sin_clasificar,Sin_clasificar,TRUE
