DX_m,DY_m,N_celdas,Correlacion,RMSE
-4.75,-1,138000,0.6964017898513681,0.2350868116983872
-4.75,-0.75,138368,0.6999915640723076,0.23387305016976884
-4.75,-0.5,138736,0.7035920305056632,0.23265029210008858
-4.75,-0.25,139104,0.7073865651419753,0.23134504013973303
-4.75,0,139472,0.7117005854420624,0.2298321725961202
-4.75,0.25,139104,0.7158276489637593,0.22806795264087276
-4.75,0.5,138736,0.7192367341494483,0.22658184148056548
-4.75,0.75,138368,0.721602129641833,0.2255081508399428
-4.75,1,138000,0.7235242876546603,0.22461099335583623
-4.75,1.25,137632,0.7253914453996633,0.2237369174076941
-4.75,1.5,137264,0.7270320472690234,0.2229510862205232
-4.75,1.75,136896,0.7284842532353212,0.2222380399699042
-4.75,2,136528,0.7295822995297647,0.2216650067007761
-4.75,2.25,136160,0.7300567143559433,0.22133988718130743
-4.75,2.5,135792,0.7300160251048987,0.2212200845704647
-4.75,2.75,135424,0.7296820616464136,0.2212198676874009
-4.75,3,135056,0.7290147115999369,0.22135548280420014
-4.75,3.25,134688,0.7276176480578409,0.2217831133734083
-4.75,3.5,134688,0.7261734755967838,0.2223321124744343
-4.75,3.75,134320,0.7238111628434614,0.22313793117572547
-4.75,4,133952,0.7218869792188645,0.22376174025911952
-4.75,4.25,133584,0.720548583130884,0.22415093173765066
-4.75,4.5,133216,0.7194369291281596,0.22445132564907555
-4.75,4.75,132848,0.7179665846844605,0.22489350457556903
-4.75,5,132480,0.7159763001605971,0.22554152427042978
-4.5,-5,132840,0.6794548310724404,0.23966944047891062
-4.5,-4.75,133209,0.6785851499899174,0.24007284412394886
-4.5,-4.5,133578,0.6773972973596699,0.24059823021866059
-4.5,-4.25,133947,0.6762906796516379,0.241102840739831
-4.5,-4,134316,0.6755791512892643,0.24146877499617242
-4.5,-3.75,134685,0.6752255897022295,0.24170908014040238
-4.5,-3.5,135054,0.675098009189561,0.24187427127293507
-4.5,-3.25,135054,0.6750616272572686,0.2418872646098174
-4.5,-3,135423,0.6762457661998078,0.24157832826777387
-4.5,-2.75,135792,0.6781743392392382,0.240995475405331
-4.5,-2.5,136161,0.680672359360682,0.2402057251653895
-4.5,-2.25,136530,0.683743314049363,0.239202433221103
-4.5,-2,136899,0.6871512248409227,0.23807135562507212
-4.5,-1.75,137268,0.6909036095261436,0.23680681057444786
-4.5,-1.5,137637,0.694936136144533,0.23543065461611454
-4.5,-1.25,138006,0.698800167314945,0.23411146328995724
-4.5,-1,138375,0.7023922185317437,0.23288661744855732
-4.5,-0.75,138744,0.7056354501253186,0.23178880285543196
-4.5,-0.5,139113,0.7084892935473714,0.2308379213041563
-4.5,-0.25,139482,0.7113385252105688,0.22988440803018256
-4.5,0,139851,0.7146241000552369,0.22875903767139993
-4.5,0.25,139482,0.7182909909662089,0.2271709386013768
-4.5,0.5,139113,0.722154739218403,0.22550236880147428
-4.5,0.75,138744,0.725422126542522,0.2240687886496216
-4.5,1,138375,0.7279257567678487,0.22293792975384802
-4.5,1.25,138006,0.7300008031921428,0.22197820378527214
-4.5,1.5,137637,0.7319331399347284,0.2210732684448016
-4.5,1.75,137268,0.7336775415528753,0.22024093905742684
-4.5,2,136899,0.7350536603089212,0.2195551293902251
-4.5,2.25,136530,0.7359338169310248,0.219068006277928
-4.5,2.5,136161,0.7362600607051726,0.21880398791449904
-4.5,2.75,135792,0.7361370229351724,0.21872387013706804
-4.5,3,135423,0.7357901829500774,0.2187372258304394
-4.5,3.25,135054,0.7350689085562523,0.21890411198054896
-4.5,3.5,135054,0.7342266464347581,0.21922028345478561
-4.5,3.75,134685,0.7319270810684758,0.22001827951516603
-4.5,4,134316,0.7296203060134171,0.22080856664601195
-4.5,4.25,133947,0.7278836235586238,0.22136584442719834
-4.5,4.5,133578,0.7265623995443864,0.2217576180349169
-4.5,4.75,133209,0.724946190173825,0.22226724211437088
-4.5,5,132840,0.7223859805014169,0.22315029808254638
-4.25,-5,133200,0.686669876680567,0.23711489679751
-4.25,-4.75,133570,0.6862229158790407,0.2373639586550384
-4.25,-4.5,133940,0.6853358853502886,0.23778159860842563
-4.25,-4.25,134310,0.6842135769644248,0.2382949864831667
-4.25,-4,134680,0.6832815613966754,0.23874323144928294
-4.25,-3.75,135050,0.6827164085343017,0.23906074040277442
-4.25,-3.5,135420,0.6825043841567311,0.23925510607720274
-4.25,-3.25,135420,0.6822050296178624,0.23936639790079928
-4.25,-3,135790,0.6828811084393172,0.23923739422902848
-4.25,-2.75,136160,0.6842512537537566,0.23885107223145935
-4.25,-2.5,136530,0.6861738847287661,0.2382633399421808
-4.25,-2.25,136900,0.6889098358829013,0.23737225268421666
-4.25,-2,137270,0.6924610281451241,0.2361740302334425
-4.25,-1.75,137640,0.6964900257628561,0.23478988970589068
-4.25,-1.5,138010,0.7007107947283827,0.2333249985259488
-4.25,-1.25,138380,0.7047418242033524,0.2319244205474118
-4.25,-1,138750,0.7081122647455187,0.23076798532277246
-4.25,-0.75,139120,0.710954163223838,0.22981034608668077
-4.25,-0.5,139490,0.7132392924736339,0.22906764173029653
-4.25,-0.25,139860,0.7154250075997209,0.228361428298327
-4.25,0,140230,0.7180431260770735,0.22748624113934907
-4.25,0.25,139860,0.7210956241733077,0.22613569774838038
-4.25,0.5,139490,0.7248942328984017,0.22448836968771085
-4.25,0.75,139120,0.7288828275406924,0.2227629617381531
-4.25,1,138750,0.7322407027032912,0.2212856147221413
-4.25,1.25,138380,0.7346999986255293,0.2201674908649053
-4.25,1.5,138010,0.7367741351487473,0.21920165980482798
-4.25,1.75,137640,0.7386210467210642,0.21832461462079822
-4.25,2,137270,0.7401696571339411,0.2175667120604339
