X,Y,Densidad_nodos_m2,Grupo
587186.9662703555,517556.77601995796,0.1526243063328113,D100
587186.9662703555,517556.8800548954,0.15184031075349544,D100
587186.9662703555,517556.98408983287,0.15099296711866947,D100
587186.9662703555,517557.0881247703,0.15008229418028293,D100
587186.9662703555,517557.1921597078,0.14910882502606315,D100
587186.9662703555,517557.2961946452,0.1480736242706879,D100
587186.9662703555,517557.4002295827,0.1469782855160515,D100
587186.9662703555,517557.50426452013,0.1458249097283901,D100
587186.9662703555,517557.6082994576,0.14461606575216535,D100
587186.9662703555,517557.71233439504,0.14335473469356752,D100
587186.9662703555,517557.8163693325,0.14204424034793492,D100
587186.9662703555,517557.92040426994,0.14068816820573746,D100
587186.9662703555,517558.0244392074,0.1392902758442836,D100
587186.9662703555,517558.12847414485,0.1378543976930464,D100
587186.9662703555,517558.2325090823,0.13638434724823587,D100
587186.9662703555,517558.33654401975,0.13488381980831862,D100
587186.9662703555,517558.4405789572,0.13335629871031962,D100
587186.9662703555,517558.54461389466,0.13180496787283819,D100
587186.9662703555,517558.6486488321,0.1302326332035752,D100
587186.9662703555,517558.75268376956,0.1286416551162621,D100
587187.0700745797,517555.0074260213,0.15881684259876783,D100
587187.0700745797,517555.1114609587,0.15890628980747273,D100
587187.0700745797,517555.2154958962,0.15892547021811534,D100
587187.0700745797,517555.3195308336,0.15888000734262298,D100
587187.0700745797,517555.4235657711,0.15877474885382256,D100
587187.0700745797,517555.52760070853,0.1586137286705893,D100
587187.0700745797,517555.631635646,0.15840015660829193,D100
587187.0700745797,517555.73567058344,0.1581364346633497,D100
587187.0700745797,517555.8397055209,0.15782419816749785,D100
587187.0700745797,517555.94374045834,0.15746437929423873,D100
587187.0700745797,517556.0477753958,0.1570572897527647,D100
587187.0700745797,517556.15181033325,0.1566027189843018,D100
587187.0700745797,517556.2558452707,0.15610004379764944,D100
587187.0700745797,517556.35988020815,0.15554834515388746,D100
587187.0700745797,517556.4639151456,0.1549465277378002,D100
587187.0700745797,517556.56795008306,0.15429343803249865,D100
587187.0700745797,517556.6719850205,0.15358797683538156,D100
587187.0700745797,517556.77601995796,0.15282920250442059,D100
587187.0700745797,517556.8800548954,0.15201642168614657,D100
587187.0700745797,517556.98408983287,0.15114926482988567,D100
587187.0700745797,517557.0881247703,0.15022774441383996,D100
587187.0700745797,517557.1921597078,0.14925229447350905,D100
587187.0700745797,517557.2961946452,0.14822379070750744,D100
587187.0700745797,517557.4002295827,0.14714355111656188,D100
587187.0700745797,517557.50426452013,0.1460133177863757,D100
587187.0700745797,517557.6082994576,0.1448352210341864,D100
587187.0700745797,517557.71233439504,0.14361172768494707,D100
587187.0700745797,517557.8163693325,0.1423455757117636,D100
587187.0700745797,517557.92040426994,0.14103969785538972,D100
587187.0700745797,517558.0244392074,0.13969713712138146,D100
587187.0700745797,517558.12847414485,0.13832095723641935,D100
587187.0700745797,517558.2325090823,0.13691415122603565,D100
587187.0700745797,517558.33654401975,0.13547955125631517,D100
587187.0700745797,517558.4405789572,0.13401974276668394,D100
587187.0700745797,517558.54461389466,0.1325369857168589,D100
587187.0700745797,517558.6486488321,0.13103314548779776,D100
