Nodo,X,Y,Replication,Dose_percent,Omission_description,Suelo_CE,Suelo_CE_corregida_OLS,Suelo_N,Suelo_P,Suelo_K,Suelo_pH,Suelo_T,Suelo_Hv,Macollas,Altura,Diametro,NDVI,Nitratos,Potasio_savia,Calcio_savia,RES_Suelo_CE,RES_Suelo_CE_corregida_OLS,RES_Suelo_N,RES_Suelo_P,RES_Suelo_K,RES_Suelo_pH,RES_Suelo_T,RES_Suelo_Hv,RES_Macollas,RES_Altura,RES_Diametro,RES_NDVI,RES_Nitratos,RES_Potasio_savia,RES_Calcio_savia
35,587204.105,517565,2,100,Completo,310.7478583740179,555.7819326453505,21.60809473204378,30.20570722286271,61.14814020345857,6.680445520543301,16.929640308754806,15.21210180877236,7,41.96666666666667,3.077777777777778,0.7,5600,4300,1700,38.70216166525465,36.00462099718641,2.7687288644530224,3.629508621495318,7.254423484882212,-1.0267574585841375,0.5674191683775406,0.361959340856661,0.6368055555555554,-1.819027777777781,-0.29106481481481444,-0.010250000000000009,790.0000000000009,-296.87500000000006,134.35416666666669
36,587202.04,517564,2,100,Sin Zn,261.6401581224542,510.09703910132,18.17630048949416,25.802104223548298,51.98373933827696,8.667666223947801,16.95038721713169,14.767257461653461,5.333333333333333,47.46666666666666,3.211111111111111,0.7,4500,5000,1600,16.113034078500657,14.989955603231367,1.263744611303024,1.783266890794153,3.2680753505738043,0.7025292329126422,0.4923947997021053,0.08896545748853832,-0.819444444444445,1.2597222222222186,-0.10787037037037048,-0.008750000000000008,250,225.00000000000009,116.66666666666664
37,587200.115,517562,2,100,Sin N,126.97960998163278,384.8223311659092,8.792749658504807,11.910044883022156,25.5489102087029,8.567286987597425,17.095034890751798,14.238334138657187,5,40.53333333333334,2.6666666666666665,0.67,3700,5100,1900,-81.3768510674702,-75.70488454807055,-5.648312253357593,-8.302481717645438,-16.179861240068398,0.3909886758874235,0.748432647754797,-0.7746041748841579,-0.8298611111111112,-1.3923611111111058,-0.6177314814814818,-0.01624999999999995,449.99999999999966,643.1250000000001,324.35416666666663
38,587197.782,517560,2,75,Sin N,216.55137943988112,468.1509482929206,14.96107532768393,20.9846774760165,43.42859168005735,6.631368433301368,16.26624602182283,14.76168545262504,4.666666666666667,37.800000000000004,2.8555555555555556,0.67,4000,4300,2000,51.08086276631284,47.52052663150346,3.5503869595312123,5.04419010998824,10.301441319821176,-0.6584804554962329,-0.11732536898366365,-0.21168725422281712,-0.07986111111111047,-5.070138888888889,-0.2246759259259259,-4.166666666666496e-4,-216.66666666666654,-231.87499999999923,-33.1458333333332
39,587196.259,517559,2,75,Sin K,242.55184562597793,492.339181985847,17.125574705023062,24.008035062235408,48.48168930321162,7.475420374491737,16.569129671904555,14.830855972565306,6,40.93333333333333,3.1111111111111116,0.69,5500,4000,2300,58.31901237730006,54.25417721460376,4.448191052934347,6.147695714341718,11.887357109057099,0.29985681059123825,0.1886159878279803,0.489938080282735,0.7638888888888863,0.7986111111111303,0.09907407407407423,0.007083333333333473,208.3333333333301,-425.00000000000335,296.6666666666662
40,587194.193,517557,2,75,Sin Fe,214.47950679586268,466.2234851721901,14.896289638923177,20.867765845073283,42.694481335514574,8.317815276870693,16.84853679988465,15.00214330744854,5,42.03333333333333,3.355555555555556,0.71,6700,4500,1800,11.040498466097196,10.270975723009565,0.7703825515483882,1.094116624945969,2.24434487836787,0.9124160770714597,0.2104321443111836,0.19527392729944792,-0.6527777777777782,0.2819444444444421,0.268518518518519,0.01208333333333333,708.3333333333336,-299.99999999999886,-3.3333333333330533
41,587192.224,517555,3,100,Sin N,247.49351752792455,496.936419356228,17.160500587598666,23.927717431718307,49.5427734555225,6.493447803874131,16.319340574133697,16.300318901746977,7.666666666666667,50.666666666666664,3.6222222222222222,0.7,2900,5200,1500,44.53241347976002,41.4285042602214,3.1140634723029863,4.316408108526564,8.929761659446184,-0.4868378283323631,-0.10210897066048302,1.1164389353186326,0.7083333333333331,0.4749999999999994,0.22833333333333355,0.009999999999999976,-299.99999999999943,427.5000000000001,-280.74999999999994
42,587190.146,517554,3,100,Sin P,229.1841886509458,479.9032507019746,15.755493495217394,22.435996795891672,45.30510053468727,6.616224100728196,16.458807870927757,14.838557267230524,7.333333333333333,49.666666666666664,3.4,0.7,5400,5100,1500,0.2004193891301771,0.18645015770715512,0.0077811055162334,0.06731702512288795,-0.007678791167702648,0.06277609877880205,0.03941488212628769,-0.10178236556688605,-0.3583333333333337,-1.891666666666667,-0.09611111111111116,-1.929879867024198e-17,800.0000000000003,-32.5,-12.750000000000007
43,587191.692,517552,3,100,Sin Mg y S,240.96117387771207,490.85938005843815,16.58198554388247,23.610598726230702,47.60023961859808,6.934701451703636,16.47939119316805,14.77447718229922,7.666666666666667,54.833333333333336,3.4000000000000004,0.72,3400,5000,1900,24.104506564431524,22.42442245689373,1.5459689328554698,2.4349864296235437,4.521089477330524,0.41460003271846607,-0.09634385550014357,-0.3010096596805743,-0.3583333333333335,0.7350000000000041,-0.507222222222222,0.010000000000000005,-1120.0000000000005,-232.49999999999997,299.25
44,587193.77,517553,3,100,Completo,248.17605435765364,497.5713833689292,17.193494884141167,24.189551566518677,49.33806394464203,6.841660356244952,16.530103495043477,14.771440404066292,7.666666666666667,54.666666666666664,3.6999999999999997,0.71,4800,5000,1700,-18.474285350171172,-17.186627661261703,-1.251246186882873,-1.7854297573728672,-3.4398931212393444,0.3304700566210226,0.09303505286903196,-0.2496437167364062,0.17499999999999988,2.614999999999994,0.22166666666666668,-0.004000000000000012,40.00000000000007,87.49999999999994,-70.74999999999999
45,587195.739,517555,2,75,Control,243.04254133330625,492.79567620237873,16.957993920739654,23.76125323608293,48.39161924588045,8.450982683866304,16.596337119273574,14.771509758998496,5,47.599999999999994,3.3111111111111113,0.67,4400,4300,1900,78.91050669137672,73.41044437499649,5.73894100214904,7.828268609814176,15.93182758911815,1.0247483504705692,0.19326246224133345,0.0058686918242196046,0.25347222222222293,3.5365277777777706,0.2242129629629629,0.011583333333333298,243.3333333333334,-11.874999999999407,110.85416666666684
46,587197.805,517557,2,75,Sin B,256.94972184499886,505.73352623240646,18.098133134069215,25.34556469232888,51.26088032070851,8.133049562655302,16.42002005507297,14.77185603034208,4.666666666666667,47,3.2444444444444445,0.71,5800,4400,1700,82.03627865924037,76.31835003669813,6.095601770012275,8.361003719067678,16.552365079302174,0.35821112190794635,0.13210963045694743,0.027186625059064835,0.26388888888888967,2.4319444444444462,-0.075925925925926,0.01208333333333328,133.3333333333337,-249.9999999999993,-178.33333333333317
47,587199.328,517558,2,75,Sin Cu,234.60588568763936,484.9470554552132,16.370593814432546,22.87395482604952,46.90070074451129,7.067695768867427,16.520251381960204,14.771425110311512,5.333333333333333,46.199999999999996,3.088888888888889,0.71,4800,4600,1800,65.38507211175143,60.82773258556752,4.6296443863049594,6.4450968928844325,13.309769330758272,-0.02124375917790749,0.27535112581530463,0.053567268213757006,0.5868055555555566,2.6365277777777685,0.048657407407407344,0.013583333333333305,-696.6666666666658,-211.87499999999963,-81.14583333333357
