Variable_suelo,Variable_cultivo,Escenario,Clase_distancia,n_pares,Distancia_media_m,Asociacion_cruzada_media,DE_asociacion
Suelo_Hv,Macollas,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,-0.007860195911102628,0.727170012872885
Suelo_Hv,Macollas,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,0.02028094101593126,0.7053496995053041
Suelo_Hv,Macollas,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,-0.02563425615919062,0.6770068781247374
Suelo_Hv,Macollas,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.0146025509398632,0.7179491660997889
Suelo_Hv,NDVI,Original,"[1.82,5.4]",257,3.6451846732626887,0.062145555941757497,0.7480965471744122
Suelo_Hv,NDVI,Original,"(5.4,8.07]",259,6.701124478376243,-0.011501378378357498,0.6752104885116048
Suelo_Hv,NDVI,Original,"(8.07,11.2]",254,9.731098454161252,0.005414542138986469,0.5640836137728787
Suelo_Hv,NDVI,Original,"(11.2,15.9]",257,13.789795449215488,0.07376014755878413,0.6874071324108676
Suelo_Hv,NDVI,Original,"(15.9,21.8]",258,18.87249627748128,-0.10539481573731968,0.6325725249314803
Suelo_Hv,NDVI,Original,"(21.8,34.9]",255,26.95148510136917,-0.030505091197410347,0.7976480709254391
Suelo_Hv,NDVI,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,0.020776070868305106,0.6591560793546468
Suelo_Hv,NDVI,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,-0.04730905218909817,0.7453614959053092
Suelo_Hv,NDVI,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.014553885126642135,0.6594489685316771
Suelo_Hv,NDVI,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,0.035537788308683,0.5814040258814805
Suelo_Hv,NDVI,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,-0.08236590083136966,0.7163563269832486
Suelo_Hv,NDVI,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.05583340829882347,0.7523250555608104
Suelo_Hv,Nitratos,Original,"[1.82,5.4]",257,3.6451846732626887,-0.049259529539650404,0.7363977204568045
Suelo_Hv,Nitratos,Original,"(5.4,8.07]",259,6.701124478376243,0.03066074139525307,0.696149503405279
Suelo_Hv,Nitratos,Original,"(8.07,11.2]",254,9.731098454161252,0.05243190229248065,0.5095335072345614
Suelo_Hv,Nitratos,Original,"(11.2,15.9]",257,13.789795449215488,-0.05148827849446719,0.5605419632820018
Suelo_Hv,Nitratos,Original,"(15.9,21.8]",258,18.87249627748128,0.0015699189613167322,0.6867014600505378
Suelo_Hv,Nitratos,Original,"(21.8,34.9]",255,26.95148510136917,0.024319532748938968,0.8365701798655749
Suelo_Hv,Nitratos,Residual_ajustado,"[1.82,5.4]",257,3.6451846732626887,-0.04524912531578213,0.7344830064357208
Suelo_Hv,Nitratos,Residual_ajustado,"(5.4,8.07]",259,6.701124478376243,0.018173871755584495,0.6657676646788212
Suelo_Hv,Nitratos,Residual_ajustado,"(8.07,11.2]",254,9.731098454161252,0.060953505679756624,0.6813308915475318
Suelo_Hv,Nitratos,Residual_ajustado,"(11.2,15.9]",257,13.789795449215488,-0.07717705289765174,0.6398596790090716
Suelo_Hv,Nitratos,Residual_ajustado,"(15.9,21.8]",258,18.87249627748128,0.02467723205757348,0.6488005519991635
Suelo_Hv,Nitratos,Residual_ajustado,"(21.8,34.9]",255,26.95148510136917,0.004648690366748352,0.807167955760226
Suelo_Hv,Potasio_savia,Original,"[1.82,5.4]",257,3.6451846732626887,0.04629213967031419,0.5954247274128481
Suelo_Hv,Potasio_savia,Original,"(5.4,8.07]",259,6.701124478376243,0.06665002983469044,0.7252079654250919
Suelo_Hv,Potasio_savia,Original,"(8.07,11.2]",254,9.731098454161252,0.027903683095545157,0.692280759199118
Suelo_Hv,Potasio_savia,Original,"(11.2,15.9]",257,13.789795449215488,0.024753210061093277,0.5473823478853023
