Variable_suelo,Variable_cultivo,Escenario,Moran_bivariado,Sim_Q025,Sim_Mediana,Sim_Q975,p_Monte_Carlo_informativo,Clasificacion
Suelo_T,Diametro,Original,-0.1228048952938048,-0.1634499367625818,7.158676885543799e-4,0.16371730333500584,0.152,Compatible con la referencia permutada
Suelo_T,Diametro,Residual_ajustado,-0.1648567604095695,-0.15751372782228223,-0.0053585084815495785,0.14810477603955063,0.04,Asociación espacial negativa menor que la referencia
Suelo_T,Macollas,Original,0.15556276998796298,-0.1526719905382982,0.002205464242624826,0.16236890205234575,0.054,Compatible con la referencia permutada
Suelo_T,Macollas,Residual_ajustado,-0.06660654753761962,-0.15631714873838615,-0.0025525893333325626,0.1474354971517008,0.422,Compatible con la referencia permutada
Suelo_T,NDVI,Original,-0.04960839548600728,-0.15349856486320815,-0.0046529074267446,0.16195444055642508,0.586,Compatible con la referencia permutada
Suelo_T,NDVI,Residual_ajustado,-0.0620940508678257,-0.15899732715725381,-0.005702539782026735,0.14809291460687243,0.473,Compatible con la referencia permutada
Suelo_T,Nitratos,Original,0.05743524685682483,-0.16889191052985159,9.739194795586926e-4,0.16948403752868818,0.515,Compatible con la referencia permutada
Suelo_T,Nitratos,Residual_ajustado,0.003912573147117848,-0.1456127414844128,0.0027065487783731784,0.14047395312293703,0.985,Compatible con la referencia permutada
Suelo_T,Potasio_savia,Original,-0.10089924681381146,-0.16822641545544087,-0.003647134644071421,0.16293097435686177,0.274,Compatible con la referencia permutada
Suelo_T,Potasio_savia,Residual_ajustado,3.9130780917606364e-5,-0.1430196105735744,3.3701979723632056e-4,0.15387786565841347,0.992,Compatible con la referencia permutada
