Nodo,Respuesta,Modelo_ID,Tipo_modelo,Replication_excluida,Observado,Predicho,Residuo
34,Calcio_savia,M1_Tratamientos,M1,1,1500,NA,NA
51,Calcio_savia,M1_Tratamientos,M1,1,1500,NA,NA
52,Calcio_savia,M1_Tratamientos,M1,1,1300,NA,NA
53,Calcio_savia,M1_Tratamientos,M1,1,1200,NA,NA
54,Calcio_savia,M1_Tratamientos,M1,1,940,NA,NA
55,Calcio_savia,M1_Tratamientos,M1,1,860,NA,NA
56,Calcio_savia,M1_Tratamientos,M1,1,1200,NA,NA
7,Calcio_savia,M1_Tratamientos,M1,2,1200,NA,NA
8,Calcio_savia,M1_Tratamientos,M1,2,1400,NA,NA
9,Calcio_savia,M1_Tratamientos,M1,2,1600,NA,NA
10,Calcio_savia,M1_Tratamientos,M1,2,1700,NA,NA
11,Calcio_savia,M1_Tratamientos,M1,2,2000,NA,NA
12,Calcio_savia,M1_Tratamientos,M1,2,1800,NA,NA
17,Calcio_savia,M1_Tratamientos,M1,2,2300,NA,NA
18,Calcio_savia,M1_Tratamientos,M1,2,1800,NA,NA
19,Calcio_savia,M1_Tratamientos,M1,2,1800,NA,NA
20,Calcio_savia,M1_Tratamientos,M1,2,1300,NA,NA
21,Calcio_savia,M1_Tratamientos,M1,2,1300,NA,NA
22,Calcio_savia,M1_Tratamientos,M1,2,1200,NA,NA
35,Calcio_savia,M1_Tratamientos,M1,2,1700,NA,NA
36,Calcio_savia,M1_Tratamientos,M1,2,1600,NA,NA
37,Calcio_savia,M1_Tratamientos,M1,2,1900,NA,NA
38,Calcio_savia,M1_Tratamientos,M1,2,2000,NA,NA
39,Calcio_savia,M1_Tratamientos,M1,2,2300,NA,NA
40,Calcio_savia,M1_Tratamientos,M1,2,1800,NA,NA
45,Calcio_savia,M1_Tratamientos,M1,2,1900,NA,NA
46,Calcio_savia,M1_Tratamientos,M1,2,1700,NA,NA
47,Calcio_savia,M1_Tratamientos,M1,2,1800,NA,NA
48,Calcio_savia,M1_Tratamientos,M1,2,1400,NA,NA
49,Calcio_savia,M1_Tratamientos,M1,2,1400,NA,NA
50,Calcio_savia,M1_Tratamientos,M1,2,1300,NA,NA
13,Calcio_savia,M1_Tratamientos,M1,3,1000,NA,NA
14,Calcio_savia,M1_Tratamientos,M1,3,2000,NA,NA
15,Calcio_savia,M1_Tratamientos,M1,3,1700,NA,NA
16,Calcio_savia,M1_Tratamientos,M1,3,1900,NA,NA
41,Calcio_savia,M1_Tratamientos,M1,3,1500,NA,NA
42,Calcio_savia,M1_Tratamientos,M1,3,1500,NA,NA
43,Calcio_savia,M1_Tratamientos,M1,3,1900,NA,NA
44,Calcio_savia,M1_Tratamientos,M1,3,1700,NA,NA
1,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,28.53333333333333,NA,NA
2,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,39.13333333333333,NA,NA
3,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,39.9,NA,NA
4,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,48.333333333333336,NA,NA
5,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,46.5,NA,NA
6,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,44.43333333333334,NA,NA
23,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,45.06666666666666,NA,NA
24,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,38.733333333333334,NA,NA
25,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,41.9,NA,NA
26,Altura,M2_Exploratorio_pH_T_Hv,Mejor_M2,1,40.93333333333333,NA,NA
