Nodo,Variable,Valor,Limite_inferior,Limite_superior,Extremo_IQR
25,Diametro,2.844444444444444,2.656944444444446,3.8680555555555545,FALSE
26,Diametro,3.511111111111111,2.656944444444446,3.8680555555555545,FALSE
27,Diametro,3.411111111111111,2.656944444444446,3.8680555555555545,FALSE
28,Diametro,3.6222222222222222,2.656944444444446,3.8680555555555545,FALSE
29,Diametro,3.577777777777778,2.656944444444446,3.8680555555555545,FALSE
30,Diametro,3.333333333333334,2.656944444444446,3.8680555555555545,FALSE
31,Diametro,3.488888888888889,2.656944444444446,3.8680555555555545,FALSE
32,Diametro,3.077777777777778,2.656944444444446,3.8680555555555545,FALSE
33,Diametro,3.0444444444444443,2.656944444444446,3.8680555555555545,FALSE
34,Diametro,3.2222222222222228,2.656944444444446,3.8680555555555545,FALSE
35,Diametro,3.077777777777778,2.656944444444446,3.8680555555555545,FALSE
36,Diametro,3.211111111111111,2.656944444444446,3.8680555555555545,FALSE
37,Diametro,2.6666666666666665,2.656944444444446,3.8680555555555545,FALSE
38,Diametro,2.8555555555555556,2.656944444444446,3.8680555555555545,FALSE
39,Diametro,3.1111111111111116,2.656944444444446,3.8680555555555545,FALSE
40,Diametro,3.355555555555556,2.656944444444446,3.8680555555555545,FALSE
41,Diametro,3.6222222222222222,2.656944444444446,3.8680555555555545,FALSE
42,Diametro,3.4,2.656944444444446,3.8680555555555545,FALSE
43,Diametro,3.4000000000000004,2.656944444444446,3.8680555555555545,FALSE
44,Diametro,3.6999999999999997,2.656944444444446,3.8680555555555545,FALSE
45,Diametro,3.3111111111111113,2.656944444444446,3.8680555555555545,FALSE
46,Diametro,3.2444444444444445,2.656944444444446,3.8680555555555545,FALSE
47,Diametro,3.088888888888889,2.656944444444446,3.8680555555555545,FALSE
48,Diametro,3.4,2.656944444444446,3.8680555555555545,FALSE
49,Diametro,3.0222222222222226,2.656944444444446,3.8680555555555545,FALSE
50,Diametro,3.1111111111111107,2.656944444444446,3.8680555555555545,FALSE
51,Diametro,3.488888888888889,2.656944444444446,3.8680555555555545,FALSE
52,Diametro,3.2000000000000006,2.656944444444446,3.8680555555555545,FALSE
53,Diametro,3.0555555555555554,2.656944444444446,3.8680555555555545,FALSE
54,Diametro,3.377777777777778,2.656944444444446,3.8680555555555545,FALSE
55,Diametro,3.5222222222222217,2.656944444444446,3.8680555555555545,FALSE
56,Diametro,3.377777777777778,2.656944444444446,3.8680555555555545,FALSE
1,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
2,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
3,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
4,NDVI,0.66,0.6350000000000002,0.7549999999999999,FALSE
5,NDVI,0.68,0.6350000000000002,0.7549999999999999,FALSE
6,NDVI,0.65,0.6350000000000002,0.7549999999999999,FALSE
7,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
8,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
9,NDVI,0.66,0.6350000000000002,0.7549999999999999,FALSE
10,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
11,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
12,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
13,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
14,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
15,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
16,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
17,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
18,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
19,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
20,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
21,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
22,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
23,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
24,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
25,NDVI,0.66,0.6350000000000002,0.7549999999999999,FALSE
26,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
27,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
28,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
29,NDVI,0.73,0.6350000000000002,0.7549999999999999,FALSE
30,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
31,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
32,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
33,NDVI,0.68,0.6350000000000002,0.7549999999999999,FALSE
34,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
35,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
36,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
37,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
38,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
39,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
40,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
41,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
42,NDVI,0.7,0.6350000000000002,0.7549999999999999,FALSE
43,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
44,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
45,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
46,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
47,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
48,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
49,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
50,NDVI,0.68,0.6350000000000002,0.7549999999999999,FALSE
51,NDVI,0.68,0.6350000000000002,0.7549999999999999,FALSE
52,NDVI,0.67,0.6350000000000002,0.7549999999999999,FALSE
53,NDVI,0.69,0.6350000000000002,0.7549999999999999,FALSE
54,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
55,NDVI,0.71,0.6350000000000002,0.7549999999999999,FALSE
56,NDVI,0.72,0.6350000000000002,0.7549999999999999,FALSE
