Funcion,r,Observado,Limite_inferior,Limite_superior,Posicion
L,2.7278692097384862,2.432840938147644,2.374210334891416,3.3476654356833784,Dentro_envolvente
L,2.7431087025303214,2.432840938147644,2.394295112074905,3.3628479882315263,Dentro_envolvente
L,2.7583481953221565,2.432840938147644,2.412479694185646,3.3628479882315263,Dentro_envolvente
L,2.7735876881139916,2.432840938147644,2.4544978533672412,3.3628479882315263,Bajo_envolvente
L,2.7888271809058267,2.5179553957708865,2.4544978533672412,3.378296171248717,Dentro_envolvente
L,2.804066673697662,2.5179553957708865,2.4756207586997876,3.390604645602566,Dentro_envolvente
L,2.819306166489497,2.680087324066316,2.49321225170614,3.4051860827403355,Dentro_envolvente
L,2.834545659281332,2.680087324066316,2.508330030821312,3.4207175365173845,Dentro_envolvente
L,2.849785152073167,2.680087324066316,2.508330030821312,3.4473640641944634,Dentro_envolvente
L,2.8650246448650023,2.680087324066316,2.530952297666134,3.48911851983511,Dentro_envolvente
L,2.8802641376568374,2.741555659302356,2.547636524599677,3.48911851983511,Dentro_envolvente
L,2.8955036304486725,2.771778691971761,2.547636524599677,3.5169518891458287,Dentro_envolvente
L,2.9107431232405077,2.8750584362799283,2.568489052511835,3.5309105195259947,Dentro_envolvente
L,2.9259826160323428,2.8750584362799283,2.568489052511835,3.561353003016626,Dentro_envolvente
L,2.941222108824178,2.8750584362799283,2.5884859849765784,3.574642019684558,Dentro_envolvente
