X,Y,Densidad_nodos_m2
587186.7586619072,517557.8163693325,0.14148498451243238
587186.7586619072,517557.92040426994,0.1400852151999674
587186.7586619072,517558.0244392074,0.13863976344953216
587186.7586619072,517558.12847414485,0.13715453096834612
587186.7586619072,517558.2325090823,0.13563556991837297
587186.7586619072,517558.33654401975,0.1340889801924043
587186.7586619072,517558.4405789572,0.13252080828894597
587186.7586619072,517558.54461389466,0.13093695034864208
587186.7586619072,517558.6486488321,0.12934306172459464
587186.8624661313,517555.2154958962,0.15601275427933162
587186.8624661313,517555.3195308336,0.15616679526649574
587186.8624661313,517555.4235657711,0.15626443917400054
587186.8624661313,517555.52760070853,0.15630752860270922
587186.8624661313,517555.631635646,0.15629711812787164
587186.8624661313,517555.73567058344,0.15623352262414367
587186.8624661313,517555.8397055209,0.15611638767286054
587186.8624661313,517555.94374045834,0.15594477913691088
587186.8624661313,517556.0477753958,0.15571728849002067
587186.8624661313,517556.15181033325,0.15543215011417558
587186.8624661313,517556.2558452707,0.15508736653949853
587186.8624661313,517556.35988020815,0.15468083749806968
587186.8624661313,517556.4639151456,0.1542104886946787
587186.8624661313,517556.56795008306,0.15367439635640312
587186.8624661313,517556.6719850205,0.15307090389813646
587186.8624661313,517556.77601995796,0.15239872741828944
587186.8624661313,517556.8800548954,0.1516570472007967
587186.8624661313,517556.98408983287,0.150845582927466
587186.8624661313,517557.0881247703,0.14996465087883123
587186.8624661313,517557.1921597078,0.1490152020020814
587186.8624661313,517557.2961946452,0.14799884033186728
587186.8624661313,517557.4002295827,0.14691782184549276
587186.8624661313,517557.50426452013,0.1457750344013589
587186.8624661313,517557.6082994576,0.14457395993367664
587186.8624661313,517557.71233439504,0.14331862054469055
587186.8624661313,517557.8163693325,0.1420135105376089
587186.8624661313,517557.92040426994,0.1406635167611626
587186.8624661313,517558.0244392074,0.13927382988470013
587186.8624661313,517558.12847414485,0.1378498493878166
587186.8624661313,517558.2325090823,0.13639708512982612
587186.8624661313,517558.33654401975,0.1349210583632042
587186.8624661313,517558.4405789572,0.13342720497470104
587186.8624661313,517558.54461389466,0.1319207835832542
587186.8624661313,517558.6486488321,0.1304067909018266
587186.8624661313,517558.75268376956,0.12888988648901095
587186.9662703555,517555.1114609587,0.15739386223743732
587186.9662703555,517555.2154958962,0.15751194635995944
587186.9662703555,517555.3195308336,0.15756845431248034
587186.9662703555,517555.4235657711,0.15756714066519953
587186.9662703555,517555.52760070853,0.1575109463723255
587186.9662703555,517555.631635646,0.1574020067129565
587186.9662703555,517555.73567058344,0.1572416849105169
587186.9662703555,517555.8397055209,0.15703062938181897
587186.9662703555,517555.94374045834,0.15676885188380252
587186.9662703555,517556.0477753958,0.15645582325276886
587186.9662703555,517556.15181033325,0.15609058298458756
587186.9662703555,517556.2558452707,0.1556718585965448
587186.9662703555,517556.35988020815,0.15519819054809725
587186.9662703555,517556.4639151456,0.15466805847899623
587186.9662703555,517556.56795008306,0.15408000464384913
587186.9662703555,517556.6719850205,0.15343275067215603
587186.9662703555,517556.77601995796,0.1527253041479976
587186.9662703555,517556.8800548954,0.1519570519663673
587186.9662703555,517556.98408983287,0.15112783796371582
587186.9662703555,517557.0881247703,0.15023802291719254
587186.9662703555,517557.1921597078,0.14928852563831355
587186.9662703555,517557.2961946452,0.14828084453052576
587186.9662703555,517557.4002295827,0.14721705961550044
